,source_id,source_lat,source_lon,type,ipcc_sector,number_overflights,source_persistence,confidence_in_persistence,qsource,sigma_qsource
478,P00479,31.7338069375,-103.28261625,tank,1B2 Oil & Natural Gas,5,0.8,0.7626953125,264.32794652,64.539321604
479,P00480,31.84433774,-103.3737401,tank,1B2 Oil & Natural Gas,8,0.125,0.899887084960938,48.9340003,5.6331549775
480,P00481,32.08955597,-103.5673665,tank,1B2 Oil & Natural Gas,11,0.181818181818182,0.957764863967896,41.1633021,13.0818953363636
481,P00482,31.784400285,-103.3203681,tank,1B2 Oil & Natural Gas,5,0.4,0.7626953125,235.6346508,62.57238646
482,P00483,32.2970031,-103.738138825,pipeline,1B2 Oil & Natural Gas,9,0.333333333333333,0.924915313720703,72.7871779111111,29.3702834433333
483,P00484,32.2003143133333,-103.684242266667,compressor,1B2 Oil & Natural Gas,12,0.166666666666667,0.968323647975922,50.6323045083333,14.07161405875
484,P00485,32.04875211,-103.5836002,tank,1B2 Oil & Natural Gas,14,0.0714285714285714,0.982182051986456,43.7386823142857,11.6435567428571
485,P00486,31.96891674,-103.5651586,well,1B2 Oil & Natural Gas,12,0.0833333333333333,0.968323647975922,52.4568387916667,10.685818875
486,P00487,31.753127525,-103.3834269,well,1B2 Oil & Natural Gas,7,0.285714285714286,0.86651611328125,150.774697414286,29.3132751014286
487,P00488,31.834322,-103.488418,tank,1B2 Oil & Natural Gas,10,0.1,0.943686485290527,64.09088204,20.83548895
488,P00489,31.70121078,-103.3691573,tank,1B2 Oil & Natural Gas,5,0.2,0.7626953125,34.07761736,7.880565888
489,P00491,31.734848945,-103.4720149,well,1B2 Oil & Natural Gas,8,0.25,0.899887084960938,111.1439517875,33.5642388175
490,P00492,31.65782188,-103.400400166667,tank,1B2 Oil & Natural Gas,6,0.5,0.822021484375,108.669966366667,27.53802184
491,P00493,31.641566,-103.490287,tank,1B2 Oil & Natural Gas,5,0.2,0.7626953125,145.8647604,39.89723518
492,P00496,32.14518497,-103.8788758,compressor,1B2 Oil & Natural Gas,9,0.111111111111111,0.924915313720703,10.8311870188889,2.90616146666667
493,P00497,31.9994992042857,-103.748490885714,tank,1B2 Oil & Natural Gas,9,0.555555555555556,0.924915313720703,182.803519888889,76.9029116566667
494,P00498,31.89893817,-103.7132548,well,1B2 Oil & Natural Gas,9,0.222222222222222,0.924915313720703,76.7994823777778,31.0770707988889
495,P00499,31.967976884,-103.86367808,compressor,1B2 Oil & Natural Gas,9,0.333333333333333,0.924915313720703,124.779970722222,46.1379810888889
496,P00500,31.6194754233333,-103.558993566667,tank,1B2 Oil & Natural Gas,6,0.5,0.822021484375,223.176676816667,45.4534595366667
497,P00501,31.604626,-103.567958,well,1B2 Oil & Natural Gas,6,0.166666666666667,0.822021484375,29.04412805,10.2284278566667
498,P00502,32.16591473,-104.0952977,well,1B2 Oil & Natural Gas,9,0.111111111111111,0.924915313720703,28.0371911222222,5.74386274777778
499,P00503,32.06434583,-104.050883666667,tank,1B2 Oil & Natural Gas,8,0.625,0.899887084960938,104.0466154125,54.952302019375
500,P00504,31.92763474,-103.8940893,tank,1B2 Oil & Natural Gas,7,0.142857142857143,0.86651611328125,26.7456134285714,12.50879496
501,P00506,31.842145,-103.883842,compressor,1B2 Oil & Natural Gas,8,0.125,0.899887084960938,17.501307825,7.64531670625
502,P00507,31.825349,-103.962147,pipeline,1B2 Oil & Natural Gas,10,0.1,0.943686485290527,23.83817356,10.90653376
503,P00508,31.503405144,-101.90375668,pipeline,1B2 Oil & Natural Gas,6,0.833333333333333,0.822021484375,325.9741102,93.4539670166667
504,P00509,32.46085047,-101.9088498,tank,1B2 Oil & Natural Gas,4,0.25,0.68359375,93.571474525,20.485384295
505,P00511,32.12033049,-101.8896271,tank,1B2 Oil & Natural Gas,5,0.2,0.7626953125,71.75121894,22.87936506
506,P00512,31.9902678455556,-101.876993244444,pipeline,1B2 Oil & Natural Gas,6,0.833333333333333,0.822021484375,652.652045794444,245.843967938889
507,P00513,31.61059297,-101.8771878,pipeline,1B2 Oil & Natural Gas,6,0.333333333333333,0.822021484375,81.8139779833333,32.58237335
508,P00514,31.6091745466667,-101.7849478,pipeline,1B2 Oil & Natural Gas,6,0.5,0.822021484375,168.85415505,26.222173646
509,P00515,31.8300156933333,-101.808078333333,pipeline,1B2 Oil & Natural Gas,6,0.5,0.822021484375,201.2847487,52.9217760416667
510,P00516,32.1135873566667,-101.7937023,well,1B2 Oil & Natural Gas,5,0.4,0.7626953125,143.25371167,33.847737954
511,P00517,31.773863,-101.758912,compressor,1B2 Oil & Natural Gas,5,0.2,0.7626953125,89.5978911,20.39479054
512,P00518,31.4487142957143,-101.749408471429,pipeline,1B2 Oil & Natural Gas,6,0.666666666666667,0.822021484375,439.028489291667,179.839675891667
513,P00519,31.74305129,-101.7392315,pipeline,1B2 Oil & Natural Gas,5,0.2,0.7626953125,81.1678609,28.88767034
